                               Data                     Mult                      Log                      Pow                     Mean
======================================================================================================================================================
                         220.715000               662.145000                 1.992900             48715.111225                 0.000000
                         126.454000               379.362000                 1.787219             15990.614116                 0.000000
                         -77.403000              -232.209000                      NaN              5991.224409                 0.000000
                         319.579000               958.737000                 2.129578            102130.737241                 0.000000
                         199.139000               597.417000                 1.954913             39656.341321                 0.000000
                         411.704000              1235.112000                 2.223114            169500.183616                 0.000000
                         138.193000               414.579000                 1.820000             19097.305249                 0.000000
                         -63.984000              -191.952000                      NaN              4093.952256                 0.000000
                         417.207000              1251.621000                 2.228017            174061.680849                 0.000000
                         102.531000               307.593000                 1.709778             10512.605961                 0.000000
                         -15.526000               -46.578000                      NaN               241.056676               157.342000
                        -488.756000             -1466.268000                      NaN            238882.427536               143.144000
                        -316.515000              -949.545000                      NaN            100181.745225               102.008700
                         425.320000              1275.960000                 2.235129            180897.102400                38.399300
                         161.453000               484.359000                 1.877445             26067.071209                61.017400
                         459.894000              1379.682000                 2.263989            211502.491236                35.992300
                         402.614000              1207.842000                 2.214870            162098.032996                68.162400
                         460.698000              1382.094000                 2.264634            212242.647204               114.822200
                         468.451000              1405.353000                 2.270797            219446.339401               119.171300
                         296.605000               889.815000                 2.102029             87974.526025               155.763300
                          51.753000               155.259000                 1.457315              2678.373009               186.976400
                         135.537000               406.611000                 1.812834             18370.278369               241.027300
                        -338.491000             -1015.473000                      NaN            114576.157081               286.232500
                         342.345000              1027.035000                 2.154989            117200.099025               209.851400
                        -224.375000              -673.125000                      NaN             50344.140625               227.940600
                         230.973000               692.919000                 2.009675             53348.526729               159.513700
                        -345.258000             -1035.774000                      NaN            119203.086564               142.349600
                        -342.610000             -1027.830000                      NaN            117381.612100                61.754000
                        -458.652000             -1375.956000                      NaN            210361.657104               -19.352100
                        -340.059000             -1020.177000                      NaN            115640.123481               -94.877800
                         496.134000              1488.402000                 2.291998            246148.945956              -134.059000
                         262.063000               786.189000                 2.056308             68677.015969               -97.999300
                         286.395000               859.185000                 2.089094             82022.096025               -37.943900
                         -81.269000              -243.807000                      NaN              6604.650361               -43.538900
                          81.642000               244.926000                 1.625651              6665.416164               -29.228300
                         -14.466000               -43.398000                      NaN               209.265156               -44.161400
                        -169.564000              -508.692000                      NaN             28751.950096               -11.082200
                        -280.165000              -840.495000                      NaN             78492.427225                 6.222400
                         421.550000              1264.650000                 2.231841            177704.402500                24.071100
                        -252.357000              -757.071000                      NaN             63684.055449               100.232000
                         322.366000               967.098000                 2.132785            103919.837956                25.382900
                         -93.976000              -281.928000                      NaN              8831.488576                31.413200
                        -241.113000              -723.339000                      NaN             58135.478769                -6.623900
                        -494.149000             -1482.447000                      NaN            244183.234201               -22.608300
                        -168.656000              -505.968000                      NaN             28444.846336               -80.187400
                         420.340000              1261.020000                 2.230780            176685.715600               -95.606400
                         465.746000              1397.238000                 2.268658            216919.336516               -36.616000
                        -266.042000              -798.126000                      NaN             70778.345764                37.975100
                         381.038000              1143.114000                 2.194531            145189.957444               -30.784100
                         434.196000              1302.588000                 2.242756            188526.166416                32.555400
                        -469.437000             -1408.311000                      NaN            220371.096969                43.738400
